COUNTY,CITY,ADDRESS OF PROJECT TO MAP,LOCATION OF PROJECT,"DESCRIPTION (sidewalk, bike lane, length, etc)",CODE FOR COLOR,PROJECT ELEMENTS (CODE),PROJECT FUNDING (CODE),YEAR COMPLETED,TOTAL COST (where available),"FUNDING SOURCES? (where available list grant name + year(s) awarded + amount)",PROJECT AGENCY OR INVOLVED GROUPS (where available),"RELEVANT LINKS - FACT SHEETS",Unnamed: 13,Unnamed: 14,LON,LAT
Washington,Barre,20 Gable Pl; Barre; VT 05641,,GOPHER — Community Rides Vermont-run Uber-like service; where GMT cannot provide needed transportation. Rides are subsidized; or market rate similar to a taxi service. Paid drivers; using all electric vehicles.,4.0,Transit,MTI,2023,,,Community Rides VT,https://gophervt.org/,,,-72.5073255,44.1998265
Washington,Barre Town,107 Mill St; East Barre; VT 05649,Jail Branch Bridge on Rt 110,Bridge replacement w/ crosswalk; sidewalk on south side,1.0,Crosswalk; Sidewalk,,2023,,,,,,,-72.4496838,44.1602521
Washington,East Montpelier,2764 US-2; East Montpelier; VT 05651,Rt 14 and Rt 2 intersection,Replacement of bridge; inc sidewalk; crosswalks; and 900 ft of sidewalk extending along Rt 2 toward village,1.0,Crosswalk; Sidewalk; repaving,,2019,$11 million total project,,VTrans,https://vtrans.vermont.gov/sites/aot/files/press-releases/07.01.2019%20-%20AOT%20Announces%20Completion%20of%20VT-14%20Bridge.pdf,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=98b252,,-72.4882775,44.2686268
Washington,Montpelier,36 College Street,36 College Street,E-Bike lending library ,,Bike share,,,,,Local Motion,https://webreserv.com/montpeliere-bikelendinglibraryvt,,,-1.2819572,52.9029544
Washington,Montpelier,55 Barre St; Montpelier; VT 05602,Barre Street,Bike lane; separated from travel lane by removable bollards,,Bike lane,BP; Better Connections,2025,,,,,,,-72.5750239,44.2571168
Washington,Montpelier,623 Stone Cutters Way; Montpelier; VT 05602,Siboinebi Recreation Path,Multi-year project extending 4.5-mile long bike path. Segment from North Branch to Main Street built in 2021. ,,Multi-use,BP,2021,,,,https://adventure.montpelieralive.com/activity/downtown-recreation-path-cross-vt-trail,,,-72.571607,44.2530665
Washington,Montpelier,1 Taylor St; Montpelier,1 Taylor St; Montpelier,Transit Center; hub for multiple bus lines; connected with bike path and downtown infrastructure; inc. new 615' accessible sidewalk,4.0,Transit,DTF,2019,,,Better Connections; TAP,https://express.adobe.com/page/MrXJK0TETLywR/,,,-72.5793361,44.2600262
Washington,Montpelier-Berlin,39 Main St; Montpelier; VT 05602,Montpelier,MyRide by GMT: microtransit rideshare service allowing residents to schedule rides. Operated by Green Mountain Transit,4.0,Transit,MTI,2021,,,Green Mountain Transit,https://ridegmt.com/myride/,,,-72.5755301,44.2592112
Washington,Montpelier-Berlin, 800 Power Plant Rd; Montpelier; VT 05602,Winooski River; near Rt 2,200 foot bike/pedestrian bridge as part of Cross Vermont Trail; with plans to connect to U-32,3.0,Multi-use,TAP,2022,,,Cross Vermont Trail Association,https://www.crossvermont.org/index.php,,,-72.5248326,44.2384361
Washington,Plainfield,40 Mill St; Plainfield; VT 05667,Main St,Pedestrian bridge connecting Upper Village with Lower Village,,Multi-use,BP,2021,,,,,,,-72.4253109,44.2771056
Washington,Plainfield-Marshfield,65 Main St; Plainfield; VT 05667,John Fowler Road in Marshfield to Plainfield Park and Ride,.5 mile bike/ped trail on railbed as part of Cross Vermont Trail,3.0,Multi-use,,2023,,,Cross Vermont Trail Association,https://www.crossvermont.org/about_us/gallery_newscroll.htm,,,-72.424548,44.277838
Washington,Waitsfield,48 Carroll Rd; Waitsfield; VT 05673,VT100 at Carrol Rd,Upgrading a signed but no marking crosswalk (installed initially for a sight-impaired individual) to a fully marked crosswalk.,,Crosswalk,,2019,,,VTrans & Mad River Valley Planning District,https://cdn.townweb.com/mrvpd.org/wp-content/uploads/2021/10/Waitsfield-Crosswalk-Sign-Pilot-Project_Final-Report.pdf,,,-72.8328792,44.1884118
Washington,Waitsfield,3951 Main St; Waitsfield; VT 05673,VT100 at Old County Rd.,RRFB installed at existing crosswalk near Waitsfield Elementary School,,Beacon,DTF,2025,$10;000,Downtown Transportation Fund,VTrans & Mad River Valley Planning District,,,,-72.8195136,44.1943107
Washington,Waitsfield,4254 Main St; Waitsfield; VT 05673,4254 Main St,New mid-block crosswalk (with bumpouts) associated with the Village West Sidewalk project (755' of new sidewalk b/t Valley Players Theater & Farr Ln),,Crosswalk; Sidewalk,BP,2021,,BP,VTrans & Mad River Valley Planning District,,,,-72.8232995,44.1918718
Washington,Waitsfield,4391 Main St; Waitsfield; VT 05673,4391 Main St,Village West Sidewalk Project; installed summer 2021; upgraded the Bridge Street Crosswalk with a bump out on the NE corner in front of the Joslin Memorial Library.,,Sidewalk,BP,2021,,BP,VTrans & Mad River Valley Planning District,,,,-72.8240771,44.1901981
Washington,Waitsfield,9 VT-17; Waitsfield; VT 05673,VT100 at Irasville Common and Mad River Green,A crosswalk was added across VT 100 between Irasville Common and Mad River Green; under the leadership of the Mad River Path; as part of a VOREC grant (located at the end of the Fiddlers Walk path segment; connecting to the larger shopping area). Includes landing area and extension of paved walkway.,,Crosswalk,VOREC,2024,,VOREC,VTrans; VOREC; Mad River Path,,,,-72.8406315,44.1808867
Washington,Waitsfield,7865 Main St; Waitsfield; VT 05673,VT100 near Warren/Waitsfield town line,Recreation crossing over VT100; connecting path segments Yestermorrow Path and Kingsbury Greenway,,Crosswalk,,2022,,,VTrans & Mad River Path,,,,-72.8380325,44.1490518
Washington,Waitsfield,4144 Main St; Waitsfield; VT 05673,Main St/Rt 100,Replacement and upgrade of sidewalk from Old County Road to Bridge St,1.0,Sidewalk,BP,2021,,,,,,,-72.8219994,44.1929934
Washington,Waterbury,103 S Main St; Waterbury; VT 05676,Main St/Rt 100,Improved sidewalk and pedestrian crossings; as part of repaving project,1.0,Sidewalk; crosswalk; repaving,BP,2022,,,VTrans,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=22D066,,,-72.7513754,44.3329501
Windham,Brattleboro,303 Western Ave; Brattleboro; VT 05301,Western Ave between Green St and I-91 interchange,Bike lanes on north and south sides of Western Ave; crosswalks at Greenhill Pkwy; Speno Ct; Green St. and RRFB at Allerton Avenue,2.0,Beacon,BP,2023,$36;000,BP 2022 ($18;000),,,,,-72.5777758,42.8507901
Windham,Brattleboro,303 Western Ave; Brattleboro; VT 05301,Western Avenue between Exit 2 interchange and downtown,"Rapid flashing beacons installed on 2 crosswalks; bike lanes painted on either side of the road
",,Beacon; Bike lane,BP,2024,,,Brattleboro Town; VTrans,,,,-72.5777758,42.8507901
Windham,Brattleboro,230 Main St; Brattleboro; VT 05301,,MicroMoo2:  A micro-transit service that operates like a free rideshare; with an app. Operated by Southeast Vermont Transit and supported by VTrans,4.0,Transit,MTI,2024,,,Southeast Vermont Transit,https://www.moover.com/moover-awarded-sustaining-grant-for-brattleboro-microtranst/,,,-72.561184,42.8554406
Windham,Brattleboro-Newfane,333 W River Rd; Brattleboro; VT 05301,Rt. 30 between Brattleboro & Newfane,Resurfacing; inc bike lanes; new buffered bike lanes; sidewalk upgrades; and new and repainted crosswalks,3.0,Bike lane; crosswalk; sidewalk,,2023,,VTrans ($300;000),VTrans,https://resources.vtrans.vermont.gov/factsheet/default.aspx?pin=11B322,https://app.powerbigov.us/view?r=eyJrIjoiYWRkOTQwZjEtZjFiZi00OGMxLWI2YzYtYmUzYjBjOTRhNjQ4IiwidCI6IjIwYjQ5MzNiLWJhYWQtNDMzYy05YzAyLTcwZWRjYzc1NTljNiJ9&pageName=ReportSection,,-72.57225,42.8755837
Windham,Putney,19 River Rd S; Putney; VT 05346,US Rt 5 from ~17 Bellows Falls Rd to Landmark College,Sidewalk from meeting house to Landmark College ,1.0,Sidewalk,,,,,,,,,-72.5152487,42.9780572
Windham,Wilmington,S Main St; Wilmington; VT 05363,South Main St,360 linear feet of 5-foot wide concrete sidewalk with granite curb; replacing existing 4-foot wide sidewalks. Installation of 4 new pedestrian lights.,1.0,Sidewalk,BP,2019,,,,,,,-72.8734125,42.8677225
Windsor,Hartford,195 Sykes Mountain Ave; White River Junction; VT 05001,Upper Sykes Mtn Ave,Sidewalk and bike lane,3.0,Sidewalk; bike lane,BP; TAP,2021,,,Town of Hartford,,,,-72.3332468,43.6448806
Windsor,Hartford,262 N Main St; White River Junction; VT 05001,US 5,US5 repaving w/ buffered bike lane; new sidewalk ramps; crosswalks ,3.0,Bike lane; Sidewalk; crosswalk,BP; TAP,2024,,,VTrans,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=20T298&fbclid=IwZXh0bgNhZW0CMTAAAR0k00OMAtzrTbKc5C3A9MZK7X6zsPK9aJaOKcyzYHqUHI_X6k1hleeRZ3g_aem_5zWoJPvUiMHrDfR1vp4yXg,,,-72.321462,43.6496267
Windsor,Hartland ,7 VT-12; Hartland; VT 05048,US5; VT12 & Quechee Road intersection,3 Corners intersection reconstructed into a 4 way intersection; including new sidewalks to improve the safety and walkability in the village.,3.0,sidewalk,BP,2023,,,TRORC,https://www.trorc.org/wp-content/uploads/2023/11/Hartland-3-Corners-sm.pdf,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=19F328,,-72.3996255,43.5410007
Windsor,Upper Valley,1587 Maple St; White River Junction; VT 05001,Upper Valley region VT & NH,"Upper Valley E-Bike Lending Library: 4 e-bikes that ""travel"" to hubs around UV so people can try them out. Sponsored through Kilton Public Library; run by Vital Communities",4.0,Bike share,,2020,,,Vital Communities,https://vitalcommunities.org/transportation/upper-valley-e-bike-lending-library/,,,-72.342687,43.661511
Windsor,Springfield,100 Mineral St.,100 Mineral St.,Pedestrian safety improvements near State Office Building,1.0,Sidewalk,,2023,,Downtown Transportation Fund,MARPC,,,,-72.4846994,43.2975523
Windsor,Springfield,Main St; Springfield; VT 05156,North Main St.,Sidewalk improvements,1.0,Sidewalk,,2021,,,Town of Springfield,,,,-72.4815081,43.2966257
Windsor,Thetford,5470 VT-113; Thetford Center; VT 05075,VT 113,walking path along Rt 113,1.0,Sidewalk,TAP,2020,,,,,,,-72.2575359,43.8526575
Windsor,Thetford,5470 VT-113; Thetford Center; VT 05075,,Trailhead,1.0,Sidewalk,BP,2020,,,,,,,-72.2575359,43.8526575
Windsor,Windsor,29 Union St; Windsor; VT 05089,Windsor,Micro Moo by Moover: A micro-transit service that operates like a free rideshare; with an app. Operated by Southeast Vermont Transit and supported by VTrans,4.0,Transit,MTI,2023,,,,,,,-72.3925246,43.476652
